id	pays_id	annee	population
1002	13	1983	55918081
1003	14	1983	4646921
1004	15	1983	56563031
1005	16	1983	524623
1006	17	1983	2537958
1007	18	1983	3470673
1008	19	1983	365450
1009	20	1983	10700155
1010	21	1983	331859
1011	22	1983	14339551
1012	23	1983	7564185
1013	24	1983	36398652
1014	25	1983	9939871
1015	26	1983	22527235
1016	27	1983	1917173
1017	28	1983	5074316
1018	29	1983	4841715
1019	30	1983	8327488
1020	31	1983	56303194
1021	32	1983	235537
1022	33	1983	4122511
1023	34	1983	0
1024	35	1983	1954972
1025	36	1983	2815239
1026	37	1983	0
1027	38	1983	47210448
1028	39	1983	4203208
1029	40	1983	1646500
1030	41	1983	0
1031	42	1983	0
1032	43	1983	0
1033	1	1984	411006427
1034	2	1984	467368929
1035	3	1984	303600009
1036	4	1984	9853023
1037	5	1984	8950144
1038	6	1984	10326526
1039	7	1984	5112130
1040	8	1984	61306669
1041	9	1984	1513747
1042	10	1984	3522800
1043	11	1984	9872102
1044	12	1984	38252899
1045	13	1984	56180589
1046	14	1984	4669587
1047	15	1984	56565117
1048	16	1984	531518
1049	17	1984	2554063
1050	18	1984	3499711
1051	19	1984	365794
1052	20	1984	10678770
1053	21	1984	329189
1054	22	1984	14394589
1055	23	1984	7559635
1056	24	1984	36744964
1057	25	1984	9975859
1058	26	1984	22593720
1059	27	1984	1927469
1060	28	1984	5109626
1061	29	1984	4869858
1062	30	1984	8330577
1063	31	1984	56362502
1064	32	1984	238416
1065	33	1984	4134353
1066	34	1984	0
1067	35	1984	1980139
1068	36	1984	2872681
1069	37	1984	0
1070	38	1984	48401689
1071	39	1984	4248746
1072	40	1984	1681500
1073	41	1984	0
1074	42	1984	0
1075	43	1984	0
1076	1	1985	411907502
1077	2	1985	468389143
1078	3	1985	304049567
1079	4	1985	9857721
1080	5	1985	8971214
1081	6	1985	10333900
1082	7	1985	5111108
1083	8	1985	61049256
1084	9	1985	1523486
1085	10	1985	3542046
1086	11	1985	9919500
1087	12	1985	38407829
1088	13	1985	56461236
1089	14	1985	4690983
1090	15	1985	56588319
1091	16	1985	538397
1092	17	1985	2570030
1093	18	1985	3528698
1094	19	1985	366202
1095	20	1985	10657420
1096	21	1985	331997
1097	22	1985	14453833
1098	23	1985	7563233
1099	24	1985	37063303
1100	25	1985	10016605
1101	26	1985	22687374
1102	27	1985	1936839
1103	28	1985	5144568
1104	29	1985	4893748
1105	30	1985	8342633
1106	31	1985	56481641
1107	32	1985	240606
1108	33	1985	4145845
1109	34	1985	0
1110	35	1985	2004709
1111	36	1985	2936177
1112	37	1985	0
1113	38	1985	49662958
1114	39	1985	4293863
1115	40	1985	1717000
1116	41	1985	0
1117	42	1985	0
1118	43	1985	0
1119	1	1986	412876239
1120	2	1986	469495134
1121	3	1986	304640663
1122	4	1986	9858895
1123	5	1986	8949880
1124	6	1986	10340335
1125	7	1986	5116273
1126	8	1986	61020474
1127	9	1986	1534076
1128	10	1986	3534117
1129	11	1986	9949100
1130	12	1986	38531195
1131	13	1986	56738825
1132	14	1986	4711852
1133	15	1986	56597823
1134	16	1986	544605
1135	17	1986	2587716
1136	18	1986	3560388
1137	19	1986	367210
1138	20	1986	10640006
1139	21	1986	340907
1140	22	1986	14529430
1141	23	1986	7566736
1142	24	1986	37340467
1143	25	1986	10030621
1144	26	1986	22778624
1145	27	1986	1946442
1146	28	1986	5178967
1147	29	1986	4910664
1148	30	1986	8358139
1149	31	1986	56618895
1150	32	1986	242203
1151	33	1986	4159187
1152	34	1986	0
1153	35	1986	2029175
1154	36	1986	2993347
1155	37	1986	0
1156	38	1986	50695548
1157	39	1986	4337350
1158	40	1986	1754000
1159	41	1986	0
1160	42	1986	0
1161	43	1986	0
1162	1	1987	414088076
1163	2	1987	470831973
1164	3	1987	305452191
1165	4	1987	9864751
1166	5	1987	8966462
1167	6	1987	10344119
1168	7	1987	5124794
1169	8	1987	61140461
1170	9	1987	1546304
1171	10	1987	3545263
1172	11	1987	9985326
1173	12	1987	38638052
1174	13	1987	57033941
1175	14	1987	4731041
1176	15	1987	56594487
1177	16	1987	550888
1178	17	1987	2612068
1179	18	1987	3597439
1180	19	1987	369500
1181	20	1987	10621121
1182	21	1987	343334
1183	22	1987	14615125
1184	23	1987	7572852
1185	24	1987	37571771
1186	25	1987	10034846
1187	26	1987	22895058
1188	27	1987	1985486
1189	28	1987	5208708
1190	29	1987	4925644
1191	30	1987	8381519
1192	31	1987	56743897
1193	32	1987	244157
1194	33	1987	4175521
1195	34	1987	0
1196	35	1987	2052953
1197	36	1987	3051923
1198	37	1987	0
1199	38	1987	51791212
1200	39	1987	4379545
1201	40	1987	1792000
1202	41	1987	0
1203	42	1987	0
1204	43	1987	0
1205	1	1988	415218942
1206	2	1988	472079145
1207	3	1988	306227897
1208	4	1988	9875716
1209	5	1988	8976255
1210	6	1988	10350517
1211	7	1988	5129254
1212	8	1988	61238079
1213	9	1988	1558137
1214	10	1988	3534850
1215	11	1988	10015863
1216	12	1988	38731578
1217	13	1988	57349954
1218	14	1988	4748450
1219	15	1988	56609375
1220	16	1988	556584
1221	17	1988	2641097
1222	18	1988	3635295
1223	19	1988	372000
1224	20	1988	10604360
1225	21	1988	345636
1226	22	1988	14714948
1227	23	1988	7576319
1228	24	1988	37764318
1229	25	1988	10025215
1230	26	1988	23003802
1231	27	1988	1994066
1232	28	1988	5236972
1233	29	1988	4938602
1234	30	1988	8414089
1235	31	1988	56860203
1236	32	1988	247561
1237	33	1988	4198289
1238	34	1988	0
1239	35	1988	2077056
1240	36	1988	3115286
1241	37	1988	0
1242	38	1988	52953586
1243	39	1988	4421373
1244	40	1988	1830500
1245	41	1988	0
1246	42	1988	0
1247	43	1988	0
1248	1	1989	416715205
1249	2	1989	473711655
1250	3	1989	307433114
1251	4	1989	9927612
1252	5	1989	8986636
1253	6	1989	10360034
1254	7	1989	5129778
1255	8	1989	61715103
1256	9	1989	1565662
1257	10	1989	3515048
1258	11	1989	10058103
1259	12	1989	38802300
1260	13	1989	57688189
1261	14	1989	4761965
1262	15	1989	56649201
1263	16	1989	562693
1264	17	1989	2665770
