GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Royaume-Uni,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	29.149,568	31.873,870	30.888,983	39.325,920	36.933,112	29.588,080	24.669,916	12.407,991	9.920,708	8.112,238
Islande,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	85,403	90,126	90,730	92,641	97,595	86,743	93,004	99,000	99,158	109,576
Norvège,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	561,211	763,139	846,178	816,456	775,182	850,024	820,897	757,636	847,705	823,223
Monténégro,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	206,281	419,716	424,336	381,000	367,802	358,563	378,361	299,389	304,184	360,532
Macédoine du Nord,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.338,372	1.304,849	1.459,780	1.397,659	1.162,993	1.083,575	948,274	880,256	972,347	837,750
Albanie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	100,500	110,900	138,974	77,225	67,005	86,449	95,081	50,729	115,975	223,423
Serbie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	8.018,740	7.752,569	8.758,448	7.621,410	7.909,813	6.261,011	7.739,946	7.917,648	7.872,652	7.548,932
Turquie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	30.391,843	31.094,639	33.100,442	34.668,155	29.819,980	33.884,132	34.597,909	37.870,214	40.091,015	40.824,691
Bosnie-Herzégovine,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	:	3.657,915	3.615,414	4.111,803	4.188,714	4.230,078
Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies),Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.585,114	1.674,643	1.622,899	1.532,123	1.555,560	1.355,198	1.557,613	1.687,894	1.418,006	1.434,162
Moldavie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	108,969	114,138	118,986	108,560	146,996	92,702	97,075	71,730	101,397	82,784
Ukraine,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	35.746,794	38.130,913	41.382,985	42.448,739	41.508,770	35.508,976	29.994,798	32.329,406	25.636,938	27.957,212
Géorgie,Énergie disponible brute,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	315,223	290,868	271,769	261,649	291,568	302,559
Union européenne - 27 pays (à partir de 2020),Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	3.717,009	3.250,274	7.305,204	7.268,341	6.140,390	5.445,559	5.108,953	3.457,960	3.288,946	3.344,618
Union européenne - 28 pays (2013-2020),Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	3.717,009	3.250,274	7.305,204	7.268,341	6.140,390	5.445,559	5.108,953	3.457,960	3.288,946	3.344,618
Zone euro - 19 pays (à partir de 2015),Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	2.851,130	2.189,045	6.066,389	6.470,688	5.559,293	4.789,233	4.855,750	3.052,907	2.846,061	2.863,435
Belgique,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	270,679	96,242	255,040	203,576	317,734	291,935	274,962	283,788	277,882	294,651
Bulgarie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	808,143	1.002,696	1.098,396	639,707	390,594	496,672	145,432	109,480	121,766	122,568
Tchéquie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	15,047	20,063	62,869	65,859	107,975	73,616	37,589	63,019	39,273	42,396
Danemark,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
